epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,189.37,1.06588,1.9852,1.36138,0.95201,0.81953,0.92726,0.68704,0.92083,1.85631,1.32342,0.000657534,0.000657534,0.000657534
2,373.473,1.05229,1.28467,1.28392,0.42461,0.46359,0.35349,0.12394,2.09269,2.77999,2.58586,0.00130781,0.00130781,0.00130781
3,557.98,1.16468,1.26595,1.36313,0.77167,0.80723,0.84126,0.3818,1.70051,2.24939,2.13757,0.00194159,0.00194159,0.00194159
4,741.6,1.08374,1.07621,1.30718,0.90808,0.86059,0.92983,0.57793,1.25041,1.36652,1.56682,0.00192575,0.00192575,0.00192575
5,921.464,1.06499,0.98398,1.28561,0.89534,0.84509,0.91843,0.65445,1.003,1.05118,1.33394,0.001901,0.001901,0.001901
6,1102.63,1.09272,0.93071,1.28885,0.83965,0.81113,0.88795,0.5849,1.15038,1.17694,1.38711,0.00187625,0.00187625,0.00187625
7,1282.56,1.05333,0.87426,1.27151,0.97303,0.93804,0.97342,0.72283,0.95603,0.80441,1.21942,0.0018515,0.0018515,0.0018515
8,1462.42,0.98087,0.78097,1.20808,0.9441,0.88468,0.95182,0.73564,0.86495,0.70342,1.20154,0.00182675,0.00182675,0.00182675
9,1639.51,0.95641,0.7628,1.22333,0.95289,0.93976,0.97345,0.77059,0.78174,0.63687,1.12247,0.001802,0.001802,0.001802
10,1817.04,0.98884,0.73486,1.24944,0.94658,0.96902,0.98534,0.79546,0.72355,0.55401,1.06413,0.00177725,0.00177725,0.00177725
11,4973.02,0.9804,0.77949,1.25809,0.95234,0.9629,0.9861,0.7886,0.74599,0.58565,1.09923,0.0017525,0.0017525,0.0017525
12,5155.29,0.88465,0.67141,1.1917,0.9918,0.97074,0.99246,0.82049,0.70369,0.4707,1.03733,0.00172775,0.00172775,0.00172775
13,5336.39,0.93376,0.66569,1.19675,0.98622,0.98571,0.99279,0.7943,0.75173,0.46882,1.08165,0.001703,0.001703,0.001703
14,5514.2,0.88718,0.62291,1.15923,0.98916,0.99312,0.99458,0.82247,0.69355,0.42017,1.03956,0.00167825,0.00167825,0.00167825
15,5694.17,0.86416,0.62014,1.16435,0.97911,0.9673,0.99259,0.80807,0.71334,0.48614,1.03649,0.0016535,0.0016535,0.0016535
16,5874.53,0.8356,0.57542,1.1425,0.9897,0.98451,0.99426,0.83309,0.6427,0.40633,0.99474,0.00162875,0.00162875,0.00162875
